filename,reg_id,type1,type2,Q,A,nQ
perwal_no_3_tahun_2019_(2).pdf,PERWALI_TANGERANG_2019_3,Q5,Q5.1,Bagaimana perubahan bunyi Pasal 2 ayat 3 dalam PERWALI_2016_108?,"Susunan Organisasi UPT Puskesmas terdiri dari : 
a. Kepala UPT; 
b. Sub Bagian Tata Usaha.",4.0
perwal_no_3_tahun_2019_(2).pdf,PERWALI_TANGERANG_2019_3,Q5,Q5.2,Apa saja pasal yang dihapus dalam PERWALI_2016_108?,,4.0
perwal_no_3_tahun_2019_(2).pdf,PERWALI_TANGERANG_2019_3,Q5,Q5.3,Apa saja pasal yang ditambahkan dalam PERWALI_2016_108?,,4.0
perwal_no_3_tahun_2019_(2).pdf,PERWALI_TANGERANG_2019_3,Q5,Q5.4,Apakah PERWALI_2016_108 mengalami perubahan?,Ya,4.0
perwal_23_2019.pdf,PERWALI_TANGERANG_2019_23,Q5,Q5.1,Bagaimana perubahan bunyi Pasal 2 ayat 3 dalam PERWALI_2016_115?,"UPT Satuan Pendidikan SMP Negeri sebagaimana dimaksud 
padsa ayat (1), yang terdiri dari : 
a. UPT Satuan Pendidikan SMP Negeri 1 Tangerang; 
b. UPT Satuan Pendidikan SMP Negeri 2 Tangerang; 
c. UPT Satuan Pendidikan SMP Negeri 3 Tangerang; 
d. UPT Satuan Pendidikan SMP Negeri 4 Tangerang; 
e. UPT Satuan Pendidikan SMP Negeri 5 Tangerang; 
f. UPT Satuan Pendidikan SMP Negeri 6 Tangerang; 
g. UPT Satuan Pendidikan SMP Negeri 7 Tangerang; 
h. UPT Satuan Pendidikan SMP Negeri 8 Tangerang; 
i. UPT Satuan Pendidikan SMP Negeri 9 Tangerang; 
j. UPT Satuan Pendidikan SMP Negeri 10 Tangerang; 
k. UPT Satuan Pendidikan SMP Negeri 11 Tangerang; 
l. UPT Satuan Pendidikan SMP Negeri 12 Tangerang; 
m. UPT Satuan Pendidikan SMP Negeri 13 Tangerang; 
n. UPT Satuan Pendidikan SMP Negeri 14 Tangerang; 
o. UPT Satuan Pendidikan SMP Negeri 15 Tangerang; 
p. UPT Satuan Pendidikan SMP Negeri 16 Tangerang; 
q. UPT Satuan Pendidikan SMP Negeri 17 Tangerang; 
r. UPT Satuan Pendidikan SMP Negeri 18 Tangerang; 
s. UPT Satuan Pendidikan SMP Negeri 19 Tangerang; 
t. UPT Satuan Pendidikan SMP Negeri 20 Tangerang; 
u. UPT Satuan Pendidikan SMP Negeri 21 Tangerang; 
v. UPT Satuan Pendidikan SMP Negeri 22 Tangerang; 
w. UPT Satuan Pendidikan SMP Negeri 23 Tangerang; 
x. UPT Satuan Pendidikan SMP Negeri 24 Tangerang. 
y. UPT Satuan Pendidikan SMP Negeri 25 Tangerang; 
z. UPT Satuan Pendidikan SMP Negeri 26 Tangerang; 
aa. UPT Satuan Pendidikan SMP Negeri 27 Tangerang; 
bb. UPT Satuan Pendidikan SMP Negeri 28 Tangerang; 
cc. UPT Satuan Pendidikan SMP Negeri 29 Tangerang; 
dd. UPT Satuan Pendidikan SMP Negeri 30 Tangerang; 
ee. UPT Satuan Pendidikan SMP Negeri 31 Tangerang. 
ff. UPT Satuan Pendidikan SMP Negeri 32 Tangerang;dan 
gg. UPT Satuan Pendidikan SMP Negeri 33 Tangerang.",4.0
perwal_23_2019.pdf,PERWALI_TANGERANG_2019_23,Q5,Q5.2,Apa saja pasal yang dihapus dalam PERWALI_2016_115?,,4.0
perwal_23_2019.pdf,PERWALI_TANGERANG_2019_23,Q5,Q5.3,Apa saja pasal yang ditambahkan dalam PERWALI_2016_115?,,4.0
perwal_23_2019.pdf,PERWALI_TANGERANG_2019_23,Q5,Q5.4,Apakah PERWALI_2016_115 mengalami perubahan?,Ya,4.0
perwal_nomor_10.pdf,PERWALI_TANGERANG_2019_10,Q5,Q5.1,Bagaimana perubahan bunyi Pasal 3 ayat 3 dalam PERWALI_TANGERANG_2018_19?,"Pembiayaan sebagaimana dimaksud pada ayat (2), 
dibebankan pada Anggaran Pendapatan Belanja Daerah.",4.0
perwal_nomor_10.pdf,PERWALI_TANGERANG_2019_10,Q5,Q5.2,Apa saja pasal yang dihapus dalam PERWALI_TANGERANG_2018_19?,,4.0
perwal_nomor_10.pdf,PERWALI_TANGERANG_2019_10,Q5,Q5.3,Apa saja pasal yang ditambahkan dalam PERWALI_TANGERANG_2018_19?,Pasal 3 ayat 1A,4.0
perwal_nomor_10.pdf,PERWALI_TANGERANG_2019_10,Q5,Q5.4,Apakah PERWALI_TANGERANG_2018_19 mengalami perubahan?,Ya,4.0
perwal52019.pdf,PERWALI_CIREBON_2019_5,Q5,Q5.1,Bagaimana perubahan bunyi Pasal 7 dalam PERWALI_CIREBON_2018_40?,"Pelaksanaan Penjabaran Anggaran Pendapatan dan Belanja 
Daerah yang ditetapkan dalam Peraturan Wali Kota ini 
dituangkan lebih lanjut dalam Dokumen Pelaksanaan 
Perubahan Anggaran Satuan Kerja Perangkat Daerah sesuai 
dengan ketentuan peraturan perundang-undangan. 
 - 14 -",4.0
perwal52019.pdf,PERWALI_CIREBON_2019_5,Q5,Q5.2,Apa saja pasal yang dihapus dalam PERWALI_CIREBON_2018_40?,,4.0
perwal52019.pdf,PERWALI_CIREBON_2019_5,Q5,Q5.3,Apa saja pasal yang ditambahkan dalam PERWALI_CIREBON_2018_40?,,4.0
perwal52019.pdf,PERWALI_CIREBON_2019_5,Q5,Q5.4,Apakah PERWALI_CIREBON_2018_40 mengalami perubahan?,Ya,4.0
