filename,reg_id,type1,type2,Q,A,nQ
perda_provinsi_dki_jakarta_nomor_2_tahun_2006_tahun_2006_11e6c5b0aaf10840995e313330323035.pdf,PERDA_DKI_JAKARTA_2006_2,Q2,Q2.1,Apa saja dasar hukum dalam membuat Peraturan Provinsi Daerah Khusus Ibukota Jakarta Nomor 2 Tahun 2006?,"UU_1999_34;
UU_2004_10;
UU_2004_32;
PERDA_DKI_JAKARTA_2001_3;
PERDA_DKI_JAKARTA_2004_9;
PERMEN_DAGRI_1999_4",12
perda_provinsi_dki_jakarta_nomor_2_tahun_2006_tahun_2006_11e6c5b0aaf10840995e313330323035.pdf,PERDA_DKI_JAKARTA_2006_2,Q2,Q2.1,Apa saja dasar hukum dalam membuat Peraturan Provinsi Daerah Khusus Ibukota Jakarta Nomor 2 Tahun 2006?,"UU_1999_34;
UU_2004_10;
UU_2004_32;
PERDA_DKI_JAKARTA_2001_3;
PERDA_DKI_JAKARTA_2004_9;
PERMEN_DAGRI_1999_4",12
perda_provinsi_dki_jakarta_nomor_2_tahun_2006_tahun_2006_11e6c5b0aaf10840995e313330323035.pdf,PERDA_DKI_JAKARTA_2006_2,Q2,Q2.1,Apa saja dasar hukum dalam membuat Peraturan Provinsi Daerah Khusus Ibukota Jakarta Nomor 2 Tahun 2006?,"UU_1999_34;
UU_2004_10;
UU_2004_32;
PERDA_DKI_JAKARTA_2001_3;
PERDA_DKI_JAKARTA_2004_9;
PERMEN_DAGRI_1999_4",12
perda_provinsi_dki_jakarta_nomor_2_tahun_2006_tahun_2006_11e6c5b0aaf10840995e313330323035.pdf,PERDA_DKI_JAKARTA_2006_2,Q2,Q2.1,Apa saja dasar hukum dalam membuat Peraturan Provinsi Daerah Khusus Ibukota Jakarta Nomor 2 Tahun 2006?,"UU_1999_34;
UU_2004_10;
UU_2004_32;
PERDA_DKI_JAKARTA_2001_3;
PERDA_DKI_JAKARTA_2004_9;
PERMEN_DAGRI_1999_4",12
perda_no_13_tahun_20141.pdf,PERDA_DKI_JAKARTA_2014_13,Q2,Q2.1,Apa saja dasar hukum dalam membuat Peraturan Provinsi Daerah Khusus Ibukota Jakarta Nomor 13 Tahun 2014?,,3
perda_no_17_tahun_2014.pdf,PERDA_DKI_JAKARTA_2014_17,Q2,Q2.1,Apa saja dasar hukum dalam membuat Peraturan Provinsi Daerah Khusus Ibukota Jakarta Nomor 17 Tahun 2014?,,3
perda_no_8_tahun_2014.pdf,PERDA_DKI_JAKARTA_2014_8,Q2,Q2.1,Apa saja dasar hukum dalam membuat Peraturan Provinsi Daerah Khusus Ibukota Jakarta Nomor 8 Tahun 2014?,"UU_1962_5;
UU_2004_32;
UU_2007_29;
UU_2011_12;
PP_2005_58;
PP_2008_1;
PERMEN_DAGRI_2006_13;
PERMEN_DAGRI_2012_52;
PERDA_1982_2;
PERDA_2010_2",3
perda_11_tahun_20181.pdf,PERDA_DKI_JAKARTA_2018_11,Q2,Q2.1,Apa saja dasar hukum dalam membuat Peraturan Provinsi Daerah Khusus Ibukota Jakarta Nomor 11 Tahun 2018?,,3
perda_kabupaten_aceh_besar_nomor_10_tahun_2013_11e53f0d6aed4be2a00c313031303536.pdf,PERKAB_ACEH_BESAR_2013_10,Q2,Q2.1,Apa saja dasar hukum dalam membuat Peraturan Kabupaten Aceh Besar Nomor 10 Tahun 2013?,"UUD1945_1945_SECTION_18_6;
UU_1956_7;
UU_1981_8;
UU_1999_28;
UU_1999_44;
UU_2004_1;
UU_2004_32;
UU_2004_33;
UU_2006_11;
UU_2009_28;
UU_2011_12;
PERMEN_DAGRI_2009_27;
;",3
perda_kabupaten_aceh_timur_nomor_7_tahun_2010_11e577c6e7bb1fa49a55313433393437.pdf,PERKAB_ACEH_TIMUR_2010_7,Q2,Q2.1,Apa saja dasar hukum dalam membuat Peraturan Kabupaten Aceh Timur Nomor 7 Tahun 2010?,"UU_1956_7;
UU_1999_44;
UU_2004_10;
UU_2004_32;
UU_2004_33;
UU_2006_11;
;",3
