type,formalTyping,code,type1,type2
PERATURAN BADAN PENGAWAS PERDAGANGAN BERJANGKA KOMODITI REPUBLIK INDONESIA,Peraturan Badan Pengawas Perdagangan Berjangka Komoditi Republik Indonesia,Peraturan_Bappebti,AgencyRegulation,Berita_Negara
PERATURAN DAERAH KABUFATEN PATI,Peraturan Daerah Kabupaten Pati,Perkab_Pati,RegencyRegulation,Lembaran_Daerah_Kabupaten_Pati
PERATURAN DAERAH KABUPATEN BERAU,Peraturan Daerah Kabupaten Berau,Perkab_Berau,RegencyRegulation,Lembaran_Daerah_Kabupaten_Berau
PERATURAN KEPALA BADAN PUSAT STATISTIK REPUBLIK INDONESIA,Peraturan Badan Pusat Statistik Republik Indonesia,Peraturan_BPS,AgencyRegulation,Berita_Negara
PERATURAN KEPALA LEMBAGA KEBIJAKAN PENGADAAN REPUBLIK INDONESIA BARANG/JASA PEMERINTAH,Peraturan Lembaga Kebijakan Pengadaan Barang/jasa Pemerintah Republik Indonesia,Peraturan_LKPP,AgencyRegulation,Berita_Negara
PERATURAN DAERAH PROPINSIDAERAH ISTIMEWA ACEH,Peraturan Daerah Provinsi Aceh,Perprov_Aceh,ProvincialRegulation,Lembaran_Daerah_Provinsi_Aceh
"PERATURAN MENTERI KOORDINATOR BIDANG POLITIK, HUKUM, DAN KEAMANAN REPUBLIK INDONESIA","Peraturan Menteri Koordinator Bidang Politik, Hukum, Dan Keamanan Republik Indonesia",Permenko_Polhukam,MinisterialRegulation,Berita_Negara
PERATURAN PERPUSTAKAAN NASIONAL REPUBLIK INDONESIA,Peraturan Perpustakaan Nasional Republik Indonesia,Peraturan_Perpusnas,AgencyRegulation,Berita_Negara
PERATURAN MENTERI AGAMA REPUBLIK INDONESIA,Peraturan Menteri Agama Republik Indonesia,Permen_Agama,MinisterialRegulation,Berita_Negara
PERATURAN DAERAH PROVINSI JAWA TIMUR,Peraturan Daerah Provinsi Jawa Timur,Perprov_Jatim,ProvincialRegulation,Lembaran_Daerah_Provinsi_Jawa_Timur
PERATURAN PEMERINTAH REPUBLIK INDONESI,Peraturan Pemerintah Republik Indonesia,PP,GovernmentRegulation,Lembaran_Negara
PERATURAN DAERAH KABUPATEN PESAWARAN,Peraturan Daerah Kabupaten Pesawaran,Perkab_Pesawaran,RegencyRegulation,Lembaran_Daerah_Kabupaten_Pesawaran
PERATURAN DAERAH KOTA AMBON,Peraturan Daerah Kota Ambon,Perkot_Ambon,MunicipalityRegulation,Lembaran_Daerah_Kota_Ambon
PERATURAN LEMBAGA KEBIJAKAN PENGADAAN BARANG/JASA PEMERINTAH REPUBLIK INDONESIA,Peraturan Lembaga Kebijakan Pengadaan Barang/jasa Pemerintah Republik Indonesia,Peraturan_LKPP,AgencyRegulation,Berita_Negara
PERATURAN DAERAH KABUPATEN DAERAH TINGKAT II PATI,Peraturan Daerah Kabupaten Pati,Perkab_Pati,RegencyRegulation,Lembaran_Daerah_Kabupaten_Pati
PERATURAN DAERAH KABUPATEN BANTUL,Peraturan Daerah Kabupaten Bantul,Perkab_Bantul,RegencyRegulation,Lembaran_Daerah_Kabupaten_Bantul
PERATURAN DAERAH KABUPATEN NATUNA,Peraturan Daerah Kabupaten Natuna,Perkab_Natuna,RegencyRegulation,Lembaran_Daerah_Kabupaten_Natuna
PERATURAN DAERAH KEBUPATEN MAGELANG,Peraturan Daerah Kabupaten Magelan,Perkab_Magelan,RegencyRegulation,Lembaran_Daerah_Kabupaten_Magelan
PERATURAN DAERAH KABUPATEN PESISR SELATAN,Peraturan Daerah Kabupaten Pesisir Selatan,Perkab_Pesisir_Selatan,RegencyRegulation,Lembaran_Daerah_Kabupaten_Pesisir_Selatan
PERATURAN DAERAH KABUPATEN DAERAH TTNGKAT II PATI,Peraturan Daerah Kabupaten Pati,Perkab_Pati,RegencyRegulation,Lembaran_Daerah_Kabupaten_Pati
PERATURAN DAERAH KABUPATEN DAERAH TINGKAT II HULU SUNGAI SELATAN,Peraturan Daerah Kabupaten Hulu Sungai Selatan,Perkab_Hulu_Sungai_Selatan,RegencyRegulation,Lembaran_Daerah_Kabupaten_Hulu_Sungai_Selatan
PERATURAN DAERAH KABUPATEN DAERAH TINGKAT II P A T I,Peraturan Daerah Kabupaten Pati,Perkab_Pati,RegencyRegulation,Lembaran_Daerah_Kabupaten_Pati
PERATURAN MENTERI KELAUTAN DAN PERIKANANREPUBLIK INDONESIA,Peraturan Menteri Kelautan Dan Perikanan Republik Indonesia,Permen_KP,MinisterialRegulation,Berita_Negara
PERATURAN DAERAH KABUPATEN LOMBOK TIMUR,Peraturan Daerah Kabupaten Lombok Timur,Perkab_Lombok_Timur,RegencyRegulation,Lembaran_Daerah_Kabupaten_Lombok_Timur
PERATURAN BERSAMA MENTERI PERDAGANGAN REPUBLIK INDONESIA DAN MENTERI KELAUTAN DAN PERIKANAN REPUBLIK INDONESIA,Peraturan Bersama Menteri Perdagangan Republik Indonesia Dan Menteri Kelautan Dan Perikanan Republik Indonesia,PB_Mendag_MKP,JointRegulation,Berita_Negara
PERATURAN BADAN TENAGA NUKLIR NASIONAL REPUBLIK INDONESIA,Peraturan Badan Tenaga Nuklir Nasional Republik Indonesia,Peraturan_Batan,AgencyRegulation,Berita_Negara
PERATURAN MENTERI KOORDINATOR BIDANG PEREKONOMIAN REPUBLIK INDONESIA SELAKU KETUA SATUAN TUGAS NASIONAL PERCEPATAN PELAKSANAAN BERUSAHA,Peraturan Menteri Koordinator Bidang Perekonomian Republik Indonesia,Permenko_Perekonomian,MinisterialRegulation,Berita_Negara
PERATURANDAERAH PROPINSI OAERAH ISTIMEWA ACEH,Peraturan Daerah Provinsi Aceh,Perprov_Aceh,ProvincialRegulation,Lembaran_Daerah_Provinsi_Aceh
PERATURAN DAERAH KABUPATEN MALANG,Peraturan Daerah Kabupaten Malang,Perkab_Malang,RegencyRegulation,Lembaran_Daerah_Kabupaten_Malang
PERATURAN KOMISI NASIONAL HAK ASASI MANUSIA REPUBLIK INDONESIA,Peraturan Komisi Nasional Hak Asasi Manusia Republik Indonesia,Peraturan_Komnas_HAM,AgencyRegulation,Berita_Negara
PERATURAN BADAN NARKOTIKA NASIONAL,Peraturan Badan Narkotika Nasional Republik Indonesia,Peraturan_BNN,AgencyRegulation,Berita_Negara
PERATURAN DAERAH KABUPATEN OGAN KOMERNG ULU TIMUR,Peraturan Daerah Kabupaten Ogan Komering Ulu Timur,Perkab_Ogan_Komering_Ulu_Timur,RegencyRegulation,Lembaran_Daerah_Kabupaten_Ogan_Komering_Ulu_Timur
