filename,reg_id,type1,type2,Q,A
perda_kota_cirebon_nomor_6_tahun_2008_11e452bd5a5699e0a1c2313634333134.pdf,PERKOT_CIREBON_2008_6,Q5,Q5.1,Bagaimana perubahan bunyi Pasal 21 ayat 2 dalam PERDA_2001_4?,"Tindak pidana sebagaimana dimaksud pada ayat (1) 
adalah pelanggaran."
perda_kota_cirebon_nomor_6_tahun_2008_11e452bd5a5699e0a1c2313634333134.pdf,PERKOT_CIREBON_2008_6,Q5,Q5.2,Apa saja pasal yang dihapus dalam PERDA_2001_4?,
perda_kota_cirebon_nomor_6_tahun_2008_11e452bd5a5699e0a1c2313634333134.pdf,PERKOT_CIREBON_2008_6,Q5,Q5.3,Apa saja pasal yang ditambahkan dalam PERDA_2001_4?,
perda_kota_cirebon_nomor_6_tahun_2008_11e452bd5a5699e0a1c2313634333134.pdf,PERKOT_CIREBON_2008_6,Q5,Q5.4,Apakah PERDA_2001_4 mengalami perubahan?,Ya
perda_kota_cirebon_nomor_6_tahun_2008_11e452bd5a5699e0a1c2313634333134.pdf,PERKOT_CIREBON_2008_6,Q5,Q5.1,Bagaimana perubahan bunyi Pasal 6 ayat 2 dalam PERDA_2001_4?,"Besarnya retribusi ditetapkan sebagai berikut : 
NO JENIS PELAYANAN TARIF 
I. PELAYANAN UPTD PUSKESMAS TERDIRI ATAS : 
 1. Rawat Jalan ( tiap kunjungan) Rp 4.000,00 
 2. Rawat Inap (per hari per pasien) Rp 30.000,00 
 3. Rawat Kunjungan (per kunjungan) Rp 10.000,00 
 4. Pengawasan Medik / Visite (per visite) Rp 10.000,00 
 5. Pemeriksaan EKG, USG Harga pembelian bahan 
dan alat ditambah jasa 
50 dari harga bahan 
dan alat. 
 6. Jasa Tindakan Medik Umum 
 a. Perawatan luka tanpa jahitan 
 - Luka Ringan Rp 5.000,00 
 - Luka Sedang Rp 10.000,00 
 - Luka Berat Rp 15.000,00 
 b. Perawatan luka dengan jahitan s/d 5 jahitan Rp 15.000,00 
 c. Perawatan luka dengan lebih dari 5 jahitan Rp 5.000,00 / jahitan 
 d. Khitanan Rp 100.000,00 
 e. Insisi Abses Rp 20.000,00 
 f. Jasa Tindakan Medis Rawat Inap (paramedic, 
kebersihan, penjaga malam) 
 Rp 15.000,00 / hari 
 7. Pelayanan Dokter Spesialis Rp 15.000,00 
NO JENIS PELAYANAN TARIF 
 8. Jasa tindakan kebidanan dan KB 
 a. Pertolongan persalinan normal (tanpa jahitan) Rp 350.000,00 
 b. Pertolongan persalinan dengan penyulit Rp 500.000,00 
 c. Kuretase (PONED) Rp 100.000,00 
 d. Tindik daun telinga Rp 10.000,00 
 e. Pemasangan atau Pencabutan IUD Rp 50.000,00 
 f. Pemasangan atau Pencabutan Implant Rp 75.000,00 
 g. Vasektomi Rp 250.000,00 
 h. Jasa KB Suntik 50 dari pembelian 
BHP 
 i. Pengambilan PAP SMEAR Rp 15.000,00 
 9. Jasa Tindakan Medik Gigi 
 a. Pembersihan karang gigi per rahang atas / Rp 10.000,00 
 rawang bawah 
 b. Pencabutan gigi tanpa suntikan Rp 5.000,00 
 c. Pencabutan gigi dengan suntikan Rp 8.000,00 
 d. Pencabutan gigi dengan komplikasi Rp 10.000,00 
 e. Incisi dan drainage abses Rp 20.000,00 
 f. Koretase Soket Rp 10.000,00 
 g. Jahitan, perjahitan Rp 3.000 ,00 
 h. Penambalan Sementara Rp 5.000,00 
 i. Penambalan Permanen Rp 10.000,00 
 10. Jasa Pelayanan Ambulance (Pulang Pergi) 
 a. Jarak sampai dengan 10 km Rp 30.000,00 
 b. Jarak penambahan diatas 10 km Rp 5.000,00/per km 
 11. Pemeriksaan Kesehatan (Keuring) : 
 a. Tenaga Kerja, untuk persyaratan kesehatan 
kerja 
 Rp 20.000,00 
 b. Bepergian ke luar negeri Rp 50.000,00 
 c. Keperluan persyaratan melanjutkan sekolah Rp 5.000,00 
http://www.bphn.go.id/
NO JENIS PELAYANAN TARIF 
d. Keperluan persyaratan melamar pekerjaan Rp 5.000,00 
 e. Keperluan ibadah haji dasar Rp 15.000,00 
 f. Keperluan ibadah haji lanjutan Rp 30.000,00 
 g. Calon mempelai laki-laki Rp 10.000,00 
 h. Calon mempelai perempuan Rp 10.000,00 
 12. Konseling Psikolog Rp 10.000,00 
II. PELAYANAN UPTD LABKESDA TERDIRI DARI : 
 1. URINALISA 
 a. Urine Rutin Rp 12.000,00 
 b. Urine Reduksi Rp 3.000,00 
 c. Urine Protein Rp 3.500,00 
 2. TINJA 
 a. Faeces Rutin Rp 15.000,00 
 b. Darah Samar Rp 10.000,00 
 3. HEMATOLOGI 
 a. Hemoglobin Rp 4.000,00 
 b. Hematokrit Rp 5.000,00 
 c. Lekosit Rp 4.000,00 
 d. Eritrosit Rp 5.500,00 
 e. Eosinofil Rp 20.000,00 
 f. Daya Tahan Osmotik Eritrosit Rp 40.000,00 
 g. Diff Count / Hitung Jenis Rp 5.000,00 
 h. Laju Endap Darah Rp 5.000,00 
 i. Retikulosit Rp 6.000,00 
 j. Morfologi Sel Darah Rp 70.000,00 
 k. Trombosit Rp 6.000,00 
 l. Darah Rutin (Hematologi Analyzer) Rp 45.000,00 
NO JENIS PELAYANAN TARIF 
 4. HEMOSTASIS 
 a. Waktu Perdarahan Rp 4.000,00 
 b. Waktu Pembekuan Rp 4.000,00 
 c. Golongan Darah Rp 6.000,00 
 d. Uji Silang Rp 32.000,00 
 5. KIMIA KLINIK 
 a. Protein Total Rp 20.000,00 
 b. Albumin / Glubulin Rp 18.000,00 
 c. Bilirubin Total / Dir / In Dir Rp 31.000,00 
 d. SGOT Rp 17.000,00 
 e. SGPT Rp 17.000,00 
 f. Alkali Pospatase Rp 27.000,00 
 g. Asam Pospatase Rp 130.000,00 
 h. Ureum Rp 15.000,00 
 i. Kreatinin Rp 16.000,00 
 j. Asam Urat Rp 21.000,00 
 k. Trigliserid Rp 25.000,00 
 l. Kholesterol Total Rp 18.000,00 
 m. LDL / HDL Kholesterol Rp 30.000,00 
 n. Glucosa Rp 13.000,00 
 o. Natrium Rp 40.000,00 
 p. Kalium Rp 40.000,00 
 q. LDH Rp 65.000,00 
 r. GT Rp 36.000,00 
 s. Cholinesterase Rp 78.000,00 
 t. CKMB Rp 81.000,00 
 u. CK / CPK Rp 70.000,00 
 v. Amylase Rp 111.000,00 
 w. Lipase Rp 111.000,00 
 x. AFP Rp 135.000,00 
 y. CEA Rp 135.000,00 
 z. T3 Rp 110.000,00 
 aa. T4 Rp 110.000,00 
http://www.bphn.go.id/
NO JENIS PELAYANAN TARIF 
 6. IMUNOLOGI / SEROLOGI 
 a. Widal Rp 45.000,00 
 b. VDRL Rp 18.000,00 
 c. TPHA Rp 50.000,00 
 d. Tes Kehamilan Rp 13.000,00 
 e. ASTO Rp 35.000,00 
 f. HbsAg Rp 30.000,00 
 g. Anti HbsAg Rp 30.000,00 
 h. HbsAg (Elisa) Rp 68.000,00 
 i. Anti HbsAg (Elisa) Rp 79.000,00 
 j. CRP Rp 46.000,00 
 k. RF Rp 38.000,00 
 l. Anti HCV (Elisa) Rp 225.000,00 
 m. Anti HIV Rp 70.000,00 
 n. Anti HIV (Elisa) Rp 160.000,00 
 o. Anti HAV Rp 210.000,00 
 p. Anti HCV Rp 180.000,00 
 q. Ig M Ig G (Dengue Blood) Rp 140.000,00 
 r. Tes Mantaux Rp 50.000,00 
 7. RONTGEN / X - RAY Rp 47.000,00 
 a. Thorax Dewasa Rp 45.000,00 
 b. Thorax Anak-anak 
 8. ELEKTRO KARDIOGRAM / USG 
 a. EKG Dewasa Harga pembelian bahan 
dan alat ditambah jasa 
50 dari harga bahan 
dan alat. 
 b. EKG Anak-anak Harga pembelian bahan 
dan alat ditambah jasa 
50 dari harga bahan 
dan alat. 
NO JENIS PELAYANAN TARIF 
 c. USG Harga pembelian bahan 
dan alat ditambah jasa 
50 dari harga bahan 
dan alat. 
 9. TOKSIOKOLOGI KLINIK 
 a. Narkoba Amphetamine Rp 40.000,00 
 b. Narkoba THC Rp 40.000,00 
 c. Narkoba Morphin Rp 40.000,00 
 10. MIKRO BIOLOGI KLINIK 
 a. Malaria Rp 10.000,00 
 b. Filaria Rp 20.000,00 
 c. Jamur Rp 10.000,00 
 d. C. Diftheria Rp 20.000,00 
 e. Tuberculosa Rp 15.000,00 
 f. Leprae Rp 20.000,00 
 g. Gonorhoe Rp 20.000,00 
 11. FISIKA AIR 
 a. Bau Rp 5.000,00 
 b. Benda Terapung Rp 5.000,00 
 c. Jumlah Zat Terlarut Rp 10.000,00 
 d. Kejernihan Rp 10.000,00 
 e. Kekeruhan (Turbidity) Rp 10.000,00 
 f. Rasa Rp 5.000,00 
 g. Suhu Rp 5.000,00 
 h. Warna Rp 10.000,00 
 i. TSS (Total Suspended Solids) Rp 10.000,00 
 j. Salinity Rp 10.000,00 
 k. DHL / Conductivity Rp 10.000,00 
12. KIMIA ANORGANIK AIR 
 a. Alkalinity Rp 20.000,00 
 b. Alumunium (Al) Rp 60.000,00 
http://www.bphn.go.id/
NO JENIS PELAYANAN TARIF 
 c. Ammonia (NH3) Rp 30.000,00 
 d. Arsenic (As) Rp 60.000,00 
 e. Barium (Ba) Rp 60.000,00 
 f. Besi (Fe) Rp 50.000,00 
 g. BOD Rp 45.000,00 
 h. Boron (B) Rp 60.000,00 
 i. Chloride (Cl) Rp 15.000,00 
 j. Cobalt (Co) Rp 60.000,00 
 k. COD Rp 100.000,00 
 l. Cyanide (CN) Rp 35.000,00 
 m. Dissolved Oxygen (DO) Rp 20.000,00 
 n. Fluoride (F) Rp 15.000,00 
 o. Free Chlorine (CL2) Rp 10.000,00 
 p. Hydrazine Rp 30.000,00 
 q. Kadmium (Cd) Rp 60.000,00 
 r. Kesadahan Total (CaCO3) Rp 40.000,00 
 s. Kromium (Cr) Rp 60.000,00 
 t. Mangan (Mn) Rp 35.000,00 
 u. Mercury (Hg) Rp 60.000,00 
 v. Nickel (N1) Rp 60.000,00 
 w. Nitrate (NO3N) Rp 30.000,00 
 x. Nitrite (NO2N) Rp 30.000,00 
 y. Perak (Ag) Rp 60.000,00 
 z. pH Rp 10.000,00 
 aa. Phosphat (PO4) Rp 25.000,00 
 bb. Selenium (Se) Rp 60.000,00 
 cc. Seng (Zn) Rp 60.000,00 
 dd. Silika (Si) Rp 50.000,00 
 ee. Sulfate (S04) Rp 30.000,00 
 ff. Sulfida (H2S) Rp 30.000,00 
 gg. Tembaga (Cu) Rp 60.000,00 
 hh. Timbal (Pb) Rp 60.000,00 
NO JENIS PELAYANAN TARIF 
 13. KIMIA ORGANIK 
 a. Zat Organik (KmnO4) Rp 30.000,00 
 b. Minyak Lemak Rp 150.000,00 
 c. Detergen (MBAS) Rp 150.000,00 
 d. Phenol Rp 150.000,00 
 14. MIKROBIOLOGI 
 a. Angka Kuman Rp 20.000,00 
 b. MPN Total Coliform Rp 20.000,00 
 c. MPN Faecal Coli (E.coli) Rp 20.000,00 
 d. Salmonella Rp 30.000,00 
 e. Shigella Rp 30.000,00 
 f. Vibrio Rp 30.000,00 
 g. Usap Dubur Rp 100.000,00 
 h. Usap Alat Rp 100.000,00 
 15. KIMIA MAKANAN MINUMAN 
 a. Boraks Rp 50.000,00 
 b. Sakarin Rp 125.000,00 
 c. Siklamat Rp 50.000,00 
 d. Benzoat Rp 125.000,00 
 e. Formalain Rp 50.000,00 
 f. Kadar Alkohol Rp 75.000,00 
 g. Kadar Air Rp 30.000,00 
 h. Pewarna (per warna) Rp 35.000,00 
http://www.bphn.go.id/"
perda_kota_cirebon_nomor_6_tahun_2008_11e452bd5a5699e0a1c2313634333134.pdf,PERKOT_CIREBON_2008_6,Q5,Q5.2,Apa saja pasal yang dihapus dalam PERDA_2001_4?,
perda_kota_cirebon_nomor_6_tahun_2008_11e452bd5a5699e0a1c2313634333134.pdf,PERKOT_CIREBON_2008_6,Q5,Q5.3,Apa saja pasal yang ditambahkan dalam PERDA_2001_4?,
perda_kota_cirebon_nomor_6_tahun_2008_11e452bd5a5699e0a1c2313634333134.pdf,PERKOT_CIREBON_2008_6,Q5,Q5.4,Apakah PERDA_2001_4 mengalami perubahan?,Ya
bn692-2018.pdf,PERATURAN_KPK_2018_05,Q5,Q5.1,Bagaimana perubahan bunyi Pasal 43 ayat 3 dalam PERATURAN_KPK_2006_06?,"Pelaksanaan cuti bersama lebih lanjut ditetapkan oleh 
Sekretaris Jenderal."
bn692-2018.pdf,PERATURAN_KPK_2018_05,Q5,Q5.2,Apa saja pasal yang dihapus dalam PERATURAN_KPK_2006_06?,
bn692-2018.pdf,PERATURAN_KPK_2018_05,Q5,Q5.3,Apa saja pasal yang ditambahkan dalam PERATURAN_KPK_2006_06?,
bn692-2018.pdf,PERATURAN_KPK_2018_05,Q5,Q5.4,Apakah PERATURAN_KPK_2006_06 mengalami perubahan?,Ya
bn167-2017.pdf,PERMEN_PANRB_2017_2,Q5,Q5.1,Bagaimana perubahan bunyi Pasal 33 ayat 6 dalam PERMEN_PANRB_2010_22?,"Pengangkatan kembali dalam Jabatan Fungsional 
Pengendali Hama dan Penyakit Ikan sebagaimana 
dimaksud pada ayat (2) dan ayat (4) dengan menggunakan 
angka kredit terakhir yang dimiliki dan dapat ditambah 
dengan angka kredit dari pengembangan profesi selama 
dibebaskan sementara."
bn167-2017.pdf,PERMEN_PANRB_2017_2,Q5,Q5.2,Apa saja pasal yang dihapus dalam PERMEN_PANRB_2010_22?,
bn167-2017.pdf,PERMEN_PANRB_2017_2,Q5,Q5.3,Apa saja pasal yang ditambahkan dalam PERMEN_PANRB_2010_22?,
bn167-2017.pdf,PERMEN_PANRB_2017_2,Q5,Q5.4,Apakah PERMEN_PANRB_2010_22 mengalami perubahan?,Ya
perda_provinsi_sumatera_barat_nomor_2_tahun_2012_11e452bdb126148091fa313634353430.pdf,PERPROV_SUMBAR_2012_2,Q5,Q5.1,Bagaimana perubahan bunyi Pasal 16 ayat 1 dalam PERPROV_SUMBAR_2011_4?,"Tarif Bea Balik Nama Kendaraan Bermotor atas penyerahan 
pertama ditetapkan sebesar 10 (sepuluh persen)."
perda_provinsi_sumatera_barat_nomor_2_tahun_2012_11e452bdb126148091fa313634353430.pdf,PERPROV_SUMBAR_2012_2,Q5,Q5.2,Apa saja pasal yang dihapus dalam PERPROV_SUMBAR_2011_4?,
perda_provinsi_sumatera_barat_nomor_2_tahun_2012_11e452bdb126148091fa313634353430.pdf,PERPROV_SUMBAR_2012_2,Q5,Q5.3,Apa saja pasal yang ditambahkan dalam PERPROV_SUMBAR_2011_4?,
perda_provinsi_sumatera_barat_nomor_2_tahun_2012_11e452bdb126148091fa313634353430.pdf,PERPROV_SUMBAR_2012_2,Q5,Q5.4,Apakah PERPROV_SUMBAR_2011_4 mengalami perubahan?,Ya
pp31-2007.pdf,PP_2007_31,Q5,Q5.1,Bagaimana perubahan bunyi Pasal 2 ayat 1 dalam PP_2001_12?,"Atas impor Barang Kena Pajak Tertentu yang bersifat
strategis berupa:
a. barang modal sebagaimana dimaksud dalam Pasal
1 angka 1 huruf a yang diperlukan secara
langsung dalam proses menghasilkan Barang Kena
Pajak, oleh Pengusaha Kena Pajak yang
menghasilkan Barang Kena Pajak tersebut;
b. makanan ternak, unggas, dan ikan dan/atau
bahan baku untuk pembuatan makanan ternak,
unggas, dan ikan sebagaimana dimaksud dalam
Pasal 1 angka 1 huruf b;
c. bibit . . .
- 6 -
c. bibit dan/atau benih dari barang pertanian,
perkebunan, kehutanan, peternakan,
penangkaran, atau perikanan sebagaimana
dimaksud dalam Pasal 1 angka 1 huruf d;
d. dihapus;
e. dihapus;
f. barang hasil pertanian sebagaimana dimaksud
dalam Pasal 1 angka 1 huruf c,
dibebaskan dari pengenaan Pajak Pertambahan Nilai."
pp31-2007.pdf,PP_2007_31,Q5,Q5.2,Apa saja pasal yang dihapus dalam PP_2001_12?,
pp31-2007.pdf,PP_2007_31,Q5,Q5.3,Apa saja pasal yang ditambahkan dalam PP_2001_12?,"Pasal 4A ayat 1;
Pasal 4A ayat 2;
Pasal 4A ayat 3"
pp31-2007.pdf,PP_2007_31,Q5,Q5.4,Apakah PP_2001_12 mengalami perubahan?,Ya
pp31-2007.pdf,PP_2007_31,Q5,Q5.1,Bagaimana perubahan bunyi Pasal 2 ayat 2 dalam PP_2001_12?,"Atas penyerahan Barang Kena Pajak Tertentu yang
bersifat strategis berupa:
a. barang modal sebagaimana dimaksud dalam Pasal
1 angka 1 huruf a yang diperlukan secara
langsung dalam proses menghasilkan Barang Kena
Pajak, oleh Pengusaha Kena Pajak yang
menghasilkan Barang Kena Pajak tersebut;
b. makanan ternak, unggas, dan ikan dan/atau
bahan baku untuk pembuatan makanan ternak,
unggas, dan ikan sebagaimana dimaksud dalam
Pasal 1 angka 1 huruf b;
c. barang hasil pertanian sebagaimana dimaksud
dalam Pasal 1 angka 1 huruf c;
d. bibit dan/atau benih dari barang pertanian,
perkebunan, kehutanan, peternakan,
penangkaran, atau perikanan sebagaimana
dimaksud dalam Pasal 1 angka 1 huruf d;
e. dihapus;
f. dihapus;
g. air bersih yang dialirkan melalui pipa oleh
Perusahaan Air Minum sebagaimana dimaksud
dalam Pasal 1 angka 1 huruf g;
h. listrik, kecuali untuk perumahan dengan daya di
atas 6600 (enam ribu enam ratus) watt
sebagaimana dimaksud dalam Pasal 1 angka 1
huruf h; dan
i. RUSUNAMI . . .
- 7 -
i. RUSUNAMI sebagaimana dimaksud dalam Pasal 1
angka 1 huruf i,
dibebaskan dari pengenaan Pajak Pertambahan Nilai."
pp31-2007.pdf,PP_2007_31,Q5,Q5.2,Apa saja pasal yang dihapus dalam PP_2001_12?,
pp31-2007.pdf,PP_2007_31,Q5,Q5.3,Apa saja pasal yang ditambahkan dalam PP_2001_12?,"Pasal 4A ayat 1;
Pasal 4A ayat 2;
Pasal 4A ayat 3"
pp31-2007.pdf,PP_2007_31,Q5,Q5.4,Apakah PP_2001_12 mengalami perubahan?,Ya
