filename,reg_id,type1,type2,Q,A
bn326-2009.pdf,PERMEN_DAG_9_46,Q2,Q2.1,Apa saja dasar hukum dalam membuat Peraturan Menteri Perdagangan Republik Indonesia Nomor 46 Tahun 9?,"UU_1955_7;
UU_1982_3;
UU_1992_25;
UU_1999_5;
UU_1997_18;
UU_2000_34;
UU_2000_37;
UU_2004_32;
UU_2007_25;
UU_2007_26;
UU_2007_29;
UU_2007_40;
UU_2007_44;
UU_2008_20;
PP_1957_1;
PP_2001_66;
PP_2007_38;
;
PERPRES_2005_9;
PERPRES_2005_10;
PERPRES_2007_76;
PERPRES_2007_77;
;
PERMEN_DAG_3_01;
PERMEN_DAG_9_36;"
bn326-2009.pdf,PERMEN_DAG_9_46,Q2,Q2.2,Apa saja peraturan yang berelasi dengan Peraturan Menteri Perdagangan Republik Indonesia Nomor 46 Tahun 9?,"UU_1955_7;
UU_1982_3;
UU_1992_25;
UU_1999_5;
UU_1997_18;
UU_2000_34;
UU_2000_37;
UU_2004_32;
UU_2007_25;
UU_2007_26;
UU_2007_29;
UU_2007_40;
UU_2007_44;
UU_2008_20;
PP_1957_1;
PP_2001_66;
PP_2007_38;
;
PERPRES_2005_9;
PERPRES_2005_10;
PERPRES_2007_76;
PERPRES_2007_77;
;
PERMEN_DAG_3_01;
PERMEN_DAG_9_36;
;
PERMEN_DAG_9_36"
bn326-2009.pdf,PERMEN_DAG_9_46,Q2,Q2.3,Peraturan manakah yang diubah oleh Peraturan Menteri Perdagangan Republik Indonesia Nomor 46 Tahun 9?,PERMEN_DAG_9_36
bn1115-2016.pdf,PERMEN_PERIN_7_58,Q2,Q2.1,Apa saja dasar hukum dalam membuat Peraturan Menteri Perindustrian Republik Indonesia Nomor 58 Tahun 7?,"PERMEN_PERIN_10_87;
PERMEN_PERIN_11_107"
bn1115-2016.pdf,PERMEN_PERIN_7_58,Q2,Q2.2,Apa saja peraturan yang berelasi dengan Peraturan Menteri Perindustrian Republik Indonesia Nomor 58 Tahun 7?,"PERMEN_PERIN_10_87;
PERMEN_PERIN_11_107;
PERMEN_PERIN_10_87"
bn1115-2016.pdf,PERMEN_PERIN_7_58,Q2,Q2.3,Peraturan manakah yang diubah oleh Peraturan Menteri Perindustrian Republik Indonesia Nomor 58 Tahun 7?,PERMEN_PERIN_10_87
bn515-2016.pdf,PERMEN_KEU_2016_54,Q2,Q2.1,Apa saja dasar hukum dalam membuat Peraturan Menteri Keuangan Republik Indonesia Nomor 54 Tahun 2016?,"UU_2003_17;
UU_2004_1;
PP_2005_23;
PERMEN_KEU_2014_97;
;
;
;
;
;
;
;
;
;
PERMEN_KEU_2014_97"
bn515-2016.pdf,PERMEN_KEU_2016_54,Q2,Q2.2,Apa saja peraturan yang berelasi dengan Peraturan Menteri Keuangan Republik Indonesia Nomor 54 Tahun 2016?,"UU_2003_17;
UU_2004_1;
PP_2005_23;
PERMEN_KEU_2014_97;
;
;
;
;
;
;
;
;
;
PERMEN_KEU_2014_97;
PERMEN_KEU_2014_97"
bn515-2016.pdf,PERMEN_KEU_2016_54,Q2,Q2.3,Peraturan manakah yang diubah oleh Peraturan Menteri Keuangan Republik Indonesia Nomor 54 Tahun 2016?,PERMEN_KEU_2014_97
perda_provinsi_papua_nomor_19_tahun_2013_tahun_2013_11e6c5b0f6c4c600ba4e313330343132.pdf,PERPROV_PAPUA_2013_19,Q2,Q2.1,Apa saja dasar hukum dalam membuat Peraturan Provinsi Papua Nomor 19 Tahun 2013?,"UU_1969_12;
UU_1992_7;
UU_1999_23;
UU_2001_21;
UU_2003_17;
UU_2004_32;
UU_2004_33;
UU_2007_40;
UU_2011_12;
PP_1992_70;
PP_2005_58;
;
PERMEN_DAGRI_2006_13;
PERMEN_DAGRI_2011_53;
PERPROV_PAPUA_2002_2;"
perda_provinsi_papua_nomor_19_tahun_2013_tahun_2013_11e6c5b0f6c4c600ba4e313330343132.pdf,PERPROV_PAPUA_2013_19,Q2,Q2.2,Apa saja peraturan yang berelasi dengan Peraturan Provinsi Papua Nomor 19 Tahun 2013?,"UU_1969_12;
UU_1992_7;
UU_1999_23;
UU_2001_21;
UU_2003_17;
UU_2004_32;
UU_2004_33;
UU_2007_40;
UU_2011_12;
PP_1992_70;
PP_2005_58;
;
PERMEN_DAGRI_2006_13;
PERMEN_DAGRI_2011_53;
PERPROV_PAPUA_2002_2;
;
PERPROV_PAPUA_2002_2"
perda_provinsi_papua_nomor_19_tahun_2013_tahun_2013_11e6c5b0f6c4c600ba4e313330343132.pdf,PERPROV_PAPUA_2013_19,Q2,Q2.3,Peraturan manakah yang diubah oleh Peraturan Provinsi Papua Nomor 19 Tahun 2013?,PERPROV_PAPUA_2002_2
perpu1-2015bt.pdf,PERPU_2015_1,Q2,Q2.1,Apa saja dasar hukum dalam membuat Peraturan Pengganti Undang Undang  Republik Indonesia Nomor 1 Tahun 2015?,"UUD1945_1945_SECTION_22_1;
UU_2002_30"
