,url,category
0,http://peraturan.go.id/peraturan/kategori.html?id=3,Kehutanan
1,http://peraturan.go.id/peraturan/kategori.html?id=4,"Pertanian, Perkebunan & Perikanan"
2,http://peraturan.go.id/peraturan/kategori.html?id=5,Sumber Daya Air & Kelautan
3,http://peraturan.go.id/peraturan/kategori.html?id=7,"Energi, Migas & Tambang"
4,http://peraturan.go.id/peraturan/kategori.html?id=8,Lingkungan Hidup
5,http://peraturan.go.id/peraturan/kategori.html?id=9,Pertanahan
6,http://peraturan.go.id/peraturan/kategori.html?id=10,Keuangan & Perbankan
7,http://peraturan.go.id/peraturan/kategori.html?id=11,Perdagangan & Industri
8,http://peraturan.go.id/peraturan/kategori.html?id=13,Perdata Dan Islam
9,http://peraturan.go.id/peraturan/kategori.html?id=14,Pidana
10,http://peraturan.go.id/peraturan/kategori.html?id=15,Adat
11,http://peraturan.go.id/peraturan/kategori.html?id=16,Hukum Internasional
12,http://peraturan.go.id/peraturan/kategori.html?id=17,Penegakan Hukum & Profesi Hukum
13,http://peraturan.go.id/peraturan/kategori.html?id=18,Korupsi
14,http://peraturan.go.id/peraturan/kategori.html?id=19,HAM
15,http://peraturan.go.id/peraturan/kategori.html?id=20,Konstitusional & Tata Negara
16,http://peraturan.go.id/peraturan/kategori.html?id=21,Administrasi Kepemerintahan
17,http://peraturan.go.id/peraturan/kategori.html?id=22,Pelayanan Publik
18,http://peraturan.go.id/peraturan/kategori.html?id=23,Kependudukan
19,http://peraturan.go.id/peraturan/kategori.html?id=24,Pertahanan & Keamanan
20,http://peraturan.go.id/peraturan/kategori.html?id=25,Medis
21,http://peraturan.go.id/peraturan/kategori.html?id=26,Pemda
22,http://peraturan.go.id/peraturan/kategori.html?id=27,Politik Dan Pemilu
23,http://peraturan.go.id/peraturan/kategori.html?id=28,Infrastruktur
24,http://peraturan.go.id/peraturan/kategori.html?id=29,Perumahan
25,http://peraturan.go.id/peraturan/kategori.html?id=30,Transportasi
26,http://peraturan.go.id/peraturan/kategori.html?id=31,Tenaga Kerja
27,http://peraturan.go.id/peraturan/kategori.html?id=32,"Pers, Telekomunikasi & Informatika"
28,http://peraturan.go.id/peraturan/kategori.html?id=33,Pendidikan & Kebudayaan
29,http://peraturan.go.id/peraturan/kategori.html?id=34,Narkotika
30,http://peraturan.go.id/peraturan/kategori.html?id=38,Riset Dan Teknologi
31,http://peraturan.go.id/peraturan/kategori.html?id=42,Ekonomi
32,http://peraturan.go.id/peraturan/kategori.html?id=44,Kesehatan
33,http://peraturan.go.id/peraturan/kategori.html?id=45,Keuangan
34,http://peraturan.go.id/peraturan/kategori.html?id=51,Pembangunan
35,http://peraturan.go.id/peraturan/kategori.html?id=52,Ibadah & Keagamaan
36,http://peraturan.go.id/peraturan/kategori.html?id=54,Arbitrase
37,http://peraturan.go.id/peraturan/kategori.html?id=55,Kesejahteraan Rakyat
38,http://peraturan.go.id/peraturan/kategori.html?id=57,Lembaga Penjaminan
39,http://peraturan.go.id/peraturan/kategori.html?id=64,Peternakan
40,http://peraturan.go.id/peraturan/kategori.html?id=66,BMKG
41,http://peraturan.go.id/peraturan/kategori.html?id=72,Organisasi Kelembagaan & Profesi
42,http://peraturan.go.id/peraturan/kategori.html?id=77,Petunjuk Pelaksanaan & Tata Kerja
43,http://peraturan.go.id/peraturan/kategori.html?id=79,Perdata
44,http://peraturan.go.id/peraturan/kategori.html?id=83,Syariah
45,http://peraturan.go.id/peraturan/kategori.html?id=82,Analisis Dampak Lingkungan
46,http://peraturan.go.id/peraturan/kategori.html?id=50,Akuntabilitas
47,http://peraturan.go.id/peraturan/kategori.html?id=56,Perizinan
48,http://peraturan.go.id/peraturan/kategori.html?id=61,BMN
49,http://peraturan.go.id/peraturan/kategori.html?id=76,Kearsipan
50,http://peraturan.go.id/peraturan/kategori.html?id=49,Geospasial
51,http://peraturan.go.id/peraturan/kategori.html?id=53,Tata Ruang
52,http://peraturan.go.id/peraturan/kategori.html?id=65,Pengembangan & Spesialisasi Sdm
53,http://peraturan.go.id/peraturan/kategori.html?id=84,Perfilman
54,http://peraturan.go.id/peraturan/kategori.html?id=35,Rehabilitasi
55,http://peraturan.go.id/peraturan/kategori.html?id=40,Modal Dan Saham
56,http://peraturan.go.id/peraturan/kategori.html?id=41,BUMN
57,http://peraturan.go.id/peraturan/kategori.html?id=43,Pariwisata
58,http://peraturan.go.id/peraturan/kategori.html?id=62,Surat Berharga
59,http://peraturan.go.id/peraturan/kategori.html?id=81,Investasi
60,http://peraturan.go.id/peraturan/kategori.html?id=48,Gaji & Tunjangan
61,http://peraturan.go.id/peraturan/kategori.html?id=58,Pnbp
62,http://peraturan.go.id/peraturan/kategori.html?id=59,Pajak
63,http://peraturan.go.id/peraturan/kategori.html?id=63,APBN
64,http://peraturan.go.id/peraturan/kategori.html?id=78,Lembaga Keuangan
65,http://peraturan.go.id/peraturan/kategori.html?id=73,Aparatur Negara
66,http://peraturan.go.id/peraturan/kategori.html?id=74,Jabatan Fungsional
67,http://peraturan.go.id/peraturan/kategori.html?id=75,Pengawasan & Pengendalian
68,http://peraturan.go.id/peraturan/kategori.html?id=80,Badan Hukum & Badan Usaha
