object,uri
Abdul Hakim,wd:Q19942211
Abdurrahman Wahid,wd:Q76167
Abri,wd:Q331386
Agus Gumiwang Kartasasmita,wd:Q12470931
Agus Rahardjo,wd:Q25466516
Agus Suparmanto,wd:Q72087658
Agus Susanto,wd:Q398739
Ahmad Heryawan,wd:Q3745
Aidul Fitriciada Azhari,wd:Q25469092
Airlangga Hartarto,wd:Q12471140
Ali Baal,wd:Q40168296
Alimuddin,wd:Q4726675
Ambon,wd:Q62883
Ambon,wd:Q225889
Ambon,wd:Q219608
Ambon,wd:Q18970
Amir Syamsudin,wd:Q4016580
Ampana,wd:Q2844083
Amran Sulaiman,wd:Q19752868
Anak Agung Gde Agung,wd:Q75790249
Anies Baswedan,wd:Q4263230
Arief Budiman,wd:Q4790355
Arief Yahya,wd:Q17410392
Arifin Tasrif,wd:Q12472460
Bacharuddin Jusuf Habibie,wd:Q76156
Badan Pemeriksa Keuangan Republik Indonesia,wd:Q2826588
Badan Pengawas Pemilihan Umum,wd:Q65049088
Badrodin Haiti,wd:Q12473234
Badung,wd:Q11482
Bagansiapiapi,wd:Q4841445
Bali,wd:Q4648
Bali,wd:Q4390883
Bali,wd:Q16275001
Bali,wd:Q3125978
Bali,wd:Q233980
Bambang Dwi Hartono,wd:Q16169836
Bambang Kesowo,wd:Q12473890
Bambang Soesatyo,wd:Q12473894
Banda Aceh,wd:Q5779
Bandung,wd:Q10389
Bandung,wd:Q10332
Bandung,wd:Q938882
Bandung Barat,wd:Q10388
Bangkalan,wd:Q11066
Bangkalan,wd:Q7107313
Banjarmasin,wd:Q14182
Bantul,wd:Q13091900
Bantul,wd:Q11477
Bantul,wd:Q807000
Banyuwangi,wd:Q11067
Banyuwangi,wd:Q4857377
Barnabas Suebu,wd:Q4861340
Barru,wd:Q14593
Barru,wd:Q4195420
Basri,wd:Q21482959
Batam,wd:Q10103
Batang,wd:Q3670469
Batang,wd:Q10607
Batang,wd:Q134267
Batu,wd:Q770646
Batu,wd:Q16274726
Batu,wd:Q350747
Batu,wd:Q12475171
Batu,wd:Q11434
Batu,wd:Q2407831
Batu,wd:Q175138
Batulicin,wd:Q4197656
Baturaja,wd:Q4560051
Bengkayang,wd:Q14156
Bengkulu,wd:Q447274
Bengkulu,wd:Q25559516
Bengkulu,wd:Q1890
Bengkulu,wd:Q8042
Bibit Waluyo,wd:Q4261769
Bintuhan,wd:Q6378867
Bireuen,wd:Q4916209
Bireuen,wd:Q5722
Blitar,wd:Q4926921
Blitar,wd:Q11069
Blitar,wd:Q11441
Bogor,wd:Q10393
Bogor,wd:Q10363
Bojonegoro,wd:Q11071
Bojonegoro,wd:Q3955907
Bondowoso,wd:Q11076
Boyolali,wd:Q10609
Budi Karya Sumadi,wd:Q28723650
Bukittinggi,wd:Q7248
Bulog,wd:Q2826598
Cap,wd:Q16865354
Ciamis,wd:Q422577
Ciamis,wd:Q10365
Cianjur,wd:Q10367
Cianjur,wd:Q565795
Cibinong,wd:Q401296
Cikarang,wd:Q5119913
Cikarang Pusat,wd:Q216088
Cilacap,wd:Q10612
Cimahi,wd:Q10394
